,SITEID,COUNTRY,PLATEDESIGN,DRUG,MIC,DILUTION,CONC,ROW,COL,BINARY_PHENOTYPE
0,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
1,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
2,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
3,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
4,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
5,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
6,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
7,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
8,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
9,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
10,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
11,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
12,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
13,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
14,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
15,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
16,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
17,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
18,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
19,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
20,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
21,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
22,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
23,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
24,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
25,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
26,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
27,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
28,5,Peru,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
29,8,Vietnam,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
30,8,Vietnam,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
31,8,Vietnam,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
32,8,Vietnam,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
33,8,Vietnam,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
34,8,Vietnam,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
35,8,Vietnam,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
36,8,Vietnam,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
37,11,Sweden,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
38,11,Sweden,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
39,11,Sweden,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
40,11,Sweden,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
41,11,Sweden,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
42,6,Italy,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
43,6,Italy,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
44,6,Italy,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
45,6,Italy,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
46,3,Germany,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
47,3,Germany,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
48,3,Germany,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
49,3,Germany,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
50,3,Germany,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
51,3,Germany,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
52,3,Germany,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
53,3,Germany,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
54,3,Germany,UKMYC6,BDQ,0.03,3,0.03,5.0,0.0,S
