PLATEDESIGN,DRUG,DILUTION,CONC,ROW,COL,BINARY_PHENOTYPE
UKMYC5,AMI,7,>8,,,R
UKMYC5,AMI,6,8,1.0,1.0,R
UKMYC5,AMI,5,4,2.0,1.0,R
UKMYC5,AMI,4,2,3.0,1.0,S
UKMYC5,AMI,3,1,4.0,1.0,S
UKMYC5,AMI,2,0.5,5.0,1.0,S
UKMYC5,AMI,1,<=0.25,6.0,1.0,S
UKMYC5,BDQ,9,>2,,,R
UKMYC5,BDQ,8,2,0.0,0.0,R
UKMYC5,BDQ,7,1,1.0,0.0,R
UKMYC5,BDQ,6,0.5,2.0,0.0,R
UKMYC5,BDQ,5,0.25,3.0,0.0,S
UKMYC5,BDQ,4,0.12,4.0,0.0,S
UKMYC5,BDQ,3,0.06,5.0,0.0,S
UKMYC5,BDQ,2,0.03,6.0,0.0,S
UKMYC5,BDQ,1,<=0.015,7.0,0.0,S
UKMYC5,CFZ,8,>4,,,R
UKMYC5,CFZ,7,4,1.0,8.0,R
UKMYC5,CFZ,6,2,2.0,8.0,R
UKMYC5,CFZ,5,1,3.0,8.0,R
UKMYC5,CFZ,4,0.5,4.0,8.0,S
UKMYC5,CFZ,3,0.25,5.0,8.0,S
UKMYC5,CFZ,2,0.12,6.0,8.0,S
UKMYC5,CFZ,1,<=0.06,7.0,8.0,S
UKMYC5,DLM,8,>1,,,R
UKMYC5,DLM,7,1,1.0,6.0,R
UKMYC5,DLM,6,0.5,2.0,6.0,R
UKMYC5,DLM,5,0.25,3.0,6.0,R
UKMYC5,DLM,4,0.12,4.0,6.0,S
UKMYC5,DLM,3,0.06,5.0,6.0,S
UKMYC5,DLM,2,0.03,6.0,6.0,S
UKMYC5,DLM,1,<=0.015,7.0,6.0,S
UKMYC5,EMB,9,>8,,,R
UKMYC5,EMB,8,8,1.0,2.0,R
UKMYC5,EMB,7,4,2.0,2.0,I
UKMYC5,EMB,6,2,3.0,2.0,S
UKMYC5,EMB,5,1,4.0,2.0,S
UKMYC5,EMB,4,0.5,5.0,2.0,S
UKMYC5,EMB,3,0.25,6.0,2.0,S
UKMYC5,EMB,1,<=0.06,7.0,1.0,S
UKMYC5,EMB,2,0.12,7.0,2.0,S
UKMYC5,ETH,7,>8,,,R
UKMYC5,ETH,6,8,0.0,6.0,R
UKMYC5,ETH,5,4,0.0,7.0,I
UKMYC5,ETH,4,2,0.0,8.0,S
UKMYC5,ETH,3,1,0.0,9.0,S
UKMYC5,ETH,2,0.5,0.0,10.0,S
UKMYC5,ETH,1,<=0.25,0.0,11.0,S
UKMYC5,INH,8,>1.6,,,R
UKMYC5,INH,7,1.6,1.0,3.0,R
UKMYC5,INH,6,0.8,2.0,3.0,R
UKMYC5,INH,5,0.4,3.0,3.0,I
UKMYC5,INH,4,0.2,4.0,3.0,I
UKMYC5,INH,3,0.1,5.0,3.0,S
UKMYC5,INH,2,0.05,6.0,3.0,S
UKMYC5,INH,1,<=0.025,7.0,3.0,S
UKMYC5,KAN,6,>16,,,R
UKMYC5,KAN,5,16,0.0,1.0,R
UKMYC5,KAN,4,8,0.0,2.0,S
UKMYC5,KAN,3,4,0.0,3.0,S
UKMYC5,KAN,2,2,0.0,4.0,S
UKMYC5,KAN,1,<=1,0.0,5.0,S
UKMYC5,LEV,8,>8,,,R
UKMYC5,LEV,7,8,1.0,4.0,R
UKMYC5,LEV,6,4,2.0,4.0,R
UKMYC5,LEV,5,2,3.0,4.0,R
UKMYC5,LEV,4,1,4.0,4.0,S
UKMYC5,LEV,3,0.5,5.0,4.0,S
UKMYC5,LEV,2,0.25,6.0,4.0,S
UKMYC5,LEV,1,<=0.12,7.0,4.0,S
UKMYC5,LZD,8,>2,,,R
UKMYC5,LZD,7,2,1.0,7.0,R
UKMYC5,LZD,6,1,2.0,7.0,S
UKMYC5,LZD,5,0.5,3.0,7.0,S
UKMYC5,LZD,4,0.25,4.0,7.0,S
UKMYC5,LZD,3,0.12,5.0,7.0,S
UKMYC5,LZD,2,0.06,6.0,7.0,S
UKMYC5,LZD,1,<=0.03,7.0,7.0,S
UKMYC5,MXF,8,>4,,,R
UKMYC5,MXF,7,4,1.0,5.0,R
UKMYC5,MXF,6,2,2.0,5.0,S
UKMYC5,MXF,5,1,3.0,5.0,S
UKMYC5,MXF,4,0.5,4.0,5.0,S
UKMYC5,MXF,3,0.25,5.0,5.0,S
UKMYC5,MXF,2,0.12,6.0,5.0,S
UKMYC5,MXF,1,<=0.06,7.0,5.0,S
UKMYC5,PAS,7,>4,,,
UKMYC5,PAS,6,4,1.0,11.0,
UKMYC5,PAS,5,2,2.0,11.0,
UKMYC5,PAS,4,1,3.0,11.0,
UKMYC5,PAS,3,0.5,4.0,11.0,
UKMYC5,PAS,2,0.25,5.0,11.0,
UKMYC5,PAS,1,<=0.12,6.0,11.0,
UKMYC5,POS,0,0,7.0,10.0,
UKMYC5,POS,0,0,7.0,11.0,
UKMYC5,RFB,7,>2,,,R
UKMYC5,RFB,6,2,1.0,10.0,R
UKMYC5,RFB,5,1,2.0,10.0,R
UKMYC5,RFB,4,0.5,3.0,10.0,R
UKMYC5,RFB,3,0.25,4.0,10.0,S
UKMYC5,RFB,2,0.12,5.0,10.0,S
UKMYC5,RFB,1,<=0.06,6.0,10.0,S
UKMYC5,RIF,8,>4,,,R
UKMYC5,RIF,7,4,1.0,9.0,R
UKMYC5,RIF,6,2,2.0,9.0,R
UKMYC5,RIF,5,1,3.0,9.0,S
UKMYC5,RIF,4,0.5,4.0,9.0,S
UKMYC5,RIF,3,0.25,5.0,9.0,S
UKMYC5,RIF,2,0.12,6.0,9.0,S
UKMYC5,RIF,1,<=0.06,7.0,9.0,S
UKMYC6,AMI,8,>16,,,R
UKMYC6,AMI,7,16,1.0,4.0,R
UKMYC6,AMI,6,8,2.0,4.0,R
UKMYC6,AMI,5,4,3.0,4.0,R
UKMYC6,AMI,4,2,4.0,4.0,S
UKMYC6,AMI,3,1,5.0,4.0,S
UKMYC6,AMI,2,0.5,6.0,4.0,S
UKMYC6,AMI,1,<=0.25,7.0,4.0,S
UKMYC6,BDQ,9,>1,,,R
UKMYC6,BDQ,8,1,0.0,0.0,R
UKMYC6,BDQ,7,0.5,1.0,0.0,R
UKMYC6,BDQ,6,0.25,2.0,0.0,S
UKMYC6,BDQ,5,0.12,3.0,0.0,S
UKMYC6,BDQ,4,0.06,4.0,0.0,S
UKMYC6,BDQ,3,0.03,5.0,0.0,S
UKMYC6,BDQ,2,0.015,6.0,0.0,S
UKMYC6,BDQ,1,<=0.008,7.0,0.0,S
UKMYC6,CFZ,8,>2,,,R
UKMYC6,CFZ,7,2,1.0,9.0,R
UKMYC6,CFZ,6,1,2.0,9.0,R
UKMYC6,CFZ,5,0.5,3.0,9.0,S
UKMYC6,CFZ,4,0.25,4.0,9.0,S
UKMYC6,CFZ,3,0.12,5.0,9.0,S
UKMYC6,CFZ,2,0.06,6.0,9.0,S
UKMYC6,CFZ,1,<=0.03,7.0,9.0,S
UKMYC6,DLM,8,>0.5,,,R
