,drug,type,method,comp1_mic_mean,comp1_mic_p95,comp1_b1,comp1_v1,fail,comp2_perc1,comp2_mic1_mean,comp2_mic1_p95,comp2_perc2,comp2_mic2_mean,comp2_mic2_p95,comp2_b1,comp2_b2,comp2_v1,comp2_v2,comp3_perc1,comp3_mic1_mean,comp3_mic1_p95,comp3_perc2,comp3_mic2_mean,comp3_mic2_p95,comp3_perc3,comp3_mic3_mean,comp3_mic3_p95,comp3_b1,comp3_b2,comp3_b3,comp3_v1,comp3_v2,comp3_v3,comp2_cons,comp3_cons,comp3_cons2
0,INH,raw,intreg_all,0.19306980073451996,2.857750654220581,-2.372805595397949,3.934324026107788,no,58.023624420166016,0.0328792966902256,0.15890397131443024,41.976375579833984,2.8522541522979736,20.229705810546875,-4.9266767501831055,1.512102484703064,1.3447761535644531,2.079335927963257,43.51073455810547,0.03197656571865082,0.13131354749202728,27.77682876586914,2.702514171600342,82.92786407470703,28.71243667602539,2.253441572189331,4.497703552246094,-4.966841220855713,1.4343022108078003,1.1721299886703491,1.0811001062393188,6.3511271476745605,0.2587791085243225,-0.3237432837486267,-0.9555587768554688,-0.9093915224075317
1,INH,SSSSnotRclean,intreg_1pop,0.030485203489661217,0.14456744492053986,-5.035747051239014,1.3126163482666016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,INH,SSSSnotRclean,intreg_2pop,,,,,,98.80411529541016,0.032161418348550797,0.10568510740995407,1.195883870124817,3.21870756149292,30.52227020263672,-4.95852518081665,1.6864814758300781,0.7668479681015015,2.7415738105773926,,,,,,,,,,,,,,,,-4.4142537117004395,,
3,INH,SSSSnotRclean,bootstrap,0.030485203489661217,0.14456744492053986,-5.035747051239014,1.3126163482666016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,RIF,raw,intreg_all,0.38603833317756653,7.509368896484375,-1.3731839656829834,4.772610187530518,no,64.15409851074219,0.055759962648153305,0.3541502058506012,35.84589767456055,27.00200080871582,142.70700073242188,-4.164626598358154,4.7549943923950195,1.8516265153884888,1.5017726421356201,,,,,,,,,,,,,,,,-0.5820589065551758,,
5,RIF,SSSSnotRclean,intreg_1pop,0.05009806528687477,0.25809481739997864,-4.319101333618164,1.4560539722442627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,RIF,SSSSnotRclean,intreg_2pop,,,,,,99.67439270019531,0.051179926842451096,0.3106484115123749,0.3256056606769562,42.45045852661133,68.03644561767578,-4.288278102874756,5.407708168029785,1.7618941068649292,0.1205534115433693,,,,,,,,,,,,,,,,-5.723977088928223,,
7,RIF,SSSSnotRclean,bootstrap,0.05009806528687477,0.25809481739997864,-4.319101333618164,1.4560539722442627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,EMB,raw,intreg_all,1.7826344966888428,9.112061500549316,0.834010899066925,1.4421640634536743,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,EMB,SSSSnotRclean,intreg_1pop,1.0710119009017944,3.51104474067688,0.09897445142269135,0.7637742757797241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,EMB,SSSSnotRclean,bootstrap,1.0710119009017944,3.51104474067688,0.09897445142269135,0.7637742757797241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,RFB,raw,intreg_all,0.08187902718782425,1.25626540184021,-3.6103622913360596,4.039902210235596,no,70.28366088867188,0.016869470477104187,0.09438914060592651,29.716337203979492,4.472873687744141,39.33303451538086,-5.88944149017334,2.1612019538879395,1.606434941291809,2.5607635974884033,,,,,,,,,,,,,,,,-0.8608424067497253,,
12,RFB,SSSSnotRclean,intreg_1pop,0.013321037404239178,0.05800299346446991,-6.230149745941162,1.172602653503418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,RFB,SSSSnotRclean,bootstrap,0.013321037404239178,0.05800299346446991,-6.230149745941162,1.172602653503418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BDQ,raw,intreg_all,0.031449753791093826,0.1427101492881775,-4.99080753326416,1.2393226623535156,no,98.69512176513672,0.030544709414243698,0.14289306104183197,1.3048782348632812,0.49051693081855774,2.4550986289978027,-5.032933712005615,-1.0276252031326294,1.2897790670394897,1.4052000045776367,,,,,,,,,,,,,,,,-4.325925827026367,,
15,BDQ,SSSSnotRclean,intreg_1pop,0.035598013550043106,0.1457478255033493,-4.81205940246582,1.0765180587768555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BDQ,SSSSnotRclean,bootstrap,0.035598013550043106,0.1457478255033493,-4.81205940246582,1.0765180587768555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
